,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_add_amount
19,20160330003610,11011,2015,00266961,035420,OFS,재무제표,BS,재무상태표,자본총계,제 17 기,2015.12.31 현재,"2,375,716,335,000",제 16 기,2014.12.31 현재,"1,911,346,446,000",제 15 기,2013.12.31 현재,"1,614,627,474,000",22,KRW,,
20,20160330003610,11011,2015,00266961,035420,OFS,재무제표,IS,손익계산서,매출액,제 17 기,2015.01.01 ~ 2015.12.31,"2,141,274,744,000",제 16 기,2014.01.01 ~ 2014.12.31,"1,637,164,959,000",제 15 기,2013.01.01 ~ 2013.12.31,"1,223,505,708,000",24,KRW,,
21,20160330003610,11011,2015,00266961,035420,OFS,재무제표,IS,손익계산서,영업이익,제 17 기,2015.01.01 ~ 2015.12.31,"826,491,298,000",제 16 기,2014.01.01 ~ 2014.12.31,"711,899,571,000",제 15 기,2013.01.01 ~ 2013.12.31,"590,397,547,000",26,KRW,,
22,20160330003610,11011,2015,00266961,035420,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 17 기,2015.01.01 ~ 2015.12.31,"848,500,733,000",제 16 기,2014.01.01 ~ 2014.12.31,"607,019,475,000",제 15 기,2013.01.01 ~ 2013.12.31,"542,726,132,000",28,KRW,,
23,20160330003610,11011,2015,00266961,035420,OFS,재무제표,IS,손익계산서,당기순이익,제 17 기,2015.01.01 ~ 2015.12.31,"642,595,653,000",제 16 기,2014.01.01 ~ 2014.12.31,"460,655,993,000",제 15 기,2013.01.01 ~ 2013.12.31,"1,960,643,767,000",30,KRW,,
24,20170908000444,11011,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,유동자산,제 18 기,2016.12.31 현재,"4,199,933,246,655",제 17 기,2015.12.31 현재,"2,639,382,642,620",제 16 기,2014.12.31 현재,"1,945,783,669,743",1,KRW,,
25,20170908000444,11011,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,비유동자산,제 18 기,2016.12.31 현재,"2,170,701,933,937",제 17 기,2015.12.31 현재,"1,746,530,375,501",제 16 기,2014.12.31 현재,"1,448,674,224,662",3,KRW,,
26,20170908000444,11011,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,자산총계,제 18 기,2016.12.31 현재,"6,370,635,180,592",제 17 기,2015.12.31 현재,"4,385,913,018,121",제 16 기,2014.12.31 현재,"3,394,457,894,405",5,KRW,,
27,20170908000444,11011,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,유동부채,제 18 기,2016.12.31 현재,"1,803,925,551,271",제 17 기,2015.12.31 현재,"1,683,655,879,811",제 16 기,2014.12.31 현재,"1,080,709,107,283",7,KRW,,
28,20170908000444,11011,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,비유동부채,제 18 기,2016.12.31 현재,"437,110,766,381",제 17 기,2015.12.31 현재,"432,678,618,822",제 16 기,2014.12.31 현재,"516,330,572,167",9,KRW,,
29,20170908000444,11011,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,부채총계,제 18 기,2016.12.31 현재,"2,241,036,317,652",제 17 기,2015.12.31 현재,"2,116,334,498,633",제 16 기,2014.12.31 현재,"1,597,039,679,450",11,KRW,,
30,20170908000444,11011,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 18 기,2016.12.31 현재,"3,810,189,403,596",제 17 기,2015.12.31 현재,"3,069,369,884,003",제 16 기,2014.12.31 현재,"2,583,591,599,131",17,KRW,,
31,20170908000444,11011,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,자본총계,제 18 기,2016.12.31 현재,"4,129,598,862,940",제 17 기,2015.12.31 현재,"2,269,578,519,488",제 16 기,2014.12.31 현재,"1,797,418,214,955",21,KRW,,
32,20170908000444,11011,2016,00266961,035420,CFS,연결재무제표,IS,손익계산서,매출액,제 18 기,2016.01.01 ~ 2016.12.31,"4,022,629,619,982",제 17 기,2015.01.01 ~ 2015.12.31,"3,253,930,352,202",제 16 기,2014.01.01 ~ 2014.12.31,"2,758,478,837,030",23,KRW,,
33,20170908000444,11011,2016,00266961,035420,CFS,연결재무제표,IS,손익계산서,영업이익,제 18 기,2016.01.01 ~ 2016.12.31,"1,102,040,475,792",제 17 기,2015.01.01 ~ 2015.12.31,"830,224,960,874",제 16 기,2014.01.01 ~ 2014.12.31,"758,199,066,124",25,KRW,,
34,20170908000444,11011,2016,00266961,035420,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 18 기,2016.01.01 ~ 2016.12.31,"1,131,770,948,917",제 17 기,2015.01.01 ~ 2015.12.31,"823,221,802,587",제 16 기,2014.01.01 ~ 2014.12.31,"658,843,590,560",27,KRW,,
35,20170908000444,11011,2016,00266961,035420,CFS,연결재무제표,IS,손익계산서,당기순이익,제 18 기,2016.01.01 ~ 2016.12.31,"759,072,951,187",제 17 기,2015.01.01 ~ 2015.12.31,"516,986,279,540",제 16 기,2014.01.01 ~ 2014.12.31,"451,763,103,073",29,KRW,,
36,20170908000444,11011,2016,00266961,035420,OFS,재무제표,BS,재무상태표,유동자산,제 18 기,2016.12.31 현재,"2,108,036,835,289",제 17 기,2015.12.31 현재,"1,804,796,318,644",제 16 기,2014.12.31 현재,"1,278,051,844,500",2,KRW,,
37,20170908000444,11011,2016,00266961,035420,OFS,재무제표,BS,재무상태표,비유동자산,제 18 기,2016.12.31 현재,"1,748,453,838,642",제 17 기,2015.12.31 현재,"1,578,921,331,247",제 16 기,2014.12.31 현재,"1,450,392,515,783",4,KRW,,
38,20170908000444,11011,2016,00266961,035420,OFS,재무제표,BS,재무상태표,자산총계,제 18 기,2016.12.31 현재,"3,856,490,673,931",제 17 기,2015.12.31 현재,"3,383,717,649,891",제 16 기,2014.12.31 현재,"2,728,444,360,283",6,KRW,,
39,20170908000444,11011,2016,00266961,035420,OFS,재무제표,BS,재무상태표,유동부채,제 18 기,2016.12.31 현재,"875,568,258,127",제 17 기,2015.12.31 현재,"739,150,463,993",제 16 기,2014.12.31 현재,"394,970,221,030",8,KRW,,
40,20170908000444,11011,2016,00266961,035420,OFS,재무제표,BS,재무상태표,비유동부채,제 18 기,2016.12.31 현재,"271,506,512,177",제 17 기,2015.12.31 현재,"268,850,850,727",제 16 기,2014.12.31 현재,"422,127,693,198",10,KRW,,
41,20170908000444,11011,2016,00266961,035420,OFS,재무제표,BS,재무상태표,부채총계,제 18 기,2016.12.31 현재,"1,147,074,770,304",제 17 기,2015.12.31 현재,"1,008,001,314,720",제 16 기,2014.12.31 현재,"817,097,914,228",12,KRW,,
42,20170908000444,11011,2016,00266961,035420,OFS,재무제표,BS,재무상태표,이익잉여금,제 18 기,2016.12.31 현재,"3,925,393,924,603",제 17 기,2015.12.31 현재,"3,293,691,504,479",제 16 기,2014.12.31 현재,"2,672,988,733,255",19,KRW,,
